supplement,evidence level,claimed improved aspect of fitness,fitness category,sport or exercise type tested,popularity,number of studies examined,number of citations,No. of individual studies / reviews,N positive studies / trials,% positive studies/ trials
AAKG,1,peak power output,strength–power,weight training,242,1,20,1,1,100.00%
AAKG,0,"body composition, aerobic capacity, muscle endurance","fat burning–muscle building, aerobic–endurance",weight training,242,1,20,1,0,0.00%
Baking soda,5,high-intensity performance,anaerobic–high-intensity,"rowing, cycling, swimming, running, other",947,14,140,14,9,64.29%
BCAAs,4,fatigue resistance,aerobic–endurance,"cycling, circuit training",5490,3,660,3,3,100.00%
BCAAs,3,"aerobic performance, endurance, power","aerobic–endurance, strength–power","cycling, other",5490,4,660,4,2,50.00%
BCAAs,1,immune defences in athletes,general fitness,"running, other",5490,2,660,2,2,100.00%
BCAAs,0,body composition,fat burning–muscle building,"swimming, rowing",5490,1,660,1,0,0.00%
BCAAs,6,muscle damage + soreness,recovery–injury prevention,"weight training, circuit training, cycling, swimming",5490,7,660,7,7,100.00%
Beetroot juice,4,aerobic efficiency,aerobic–endurance,"running, cycling",267,4,5,4,4,100.00%
Beta alanine,1,high-intensity performance,"aerobic–endurance, anaerobic–high-intensity","rowing, cycling, running",920,4,284,4,1,25.00%
Beta alanine,2,"training tolerance, fatigue","recovery–injury prevention, sports psychology","running, other",920,2,284,2,2,100.00%
Beta alanine,1,"muscular endurance, power","strength–power, anaerobic–high-intensity",weight training,920,1,284,1,1,100.00%
Betaine,1,exercise tolerance in hot conditions,general fitness,running,1040,1,162,1,1,100.00%
Betaine,0,sprint performance,anaerobic–high-intensity,running,1040,1,162,1,0,0.00%
Bitter orange,0,weight loss,fat burning–muscle building,other,406,3,1680,2,0,0.00%
Bovine colostrum,2,"high intensity performance, endurance",aerobic–endurance,"cycling, running, rowing, other",165,5,194,5,3,60.00%
Bovine colostrum,1,immune defences in athletes,general fitness,"swimming, cycling",165,3,194,3,1,33.33%
Bovine colostrum,1,muscle gain,fat burning–muscle building,weight training,165,1,194,1,1,100.00%
Bovine colostrum,1,"strength, power, sprint performance","strength–power, anaerobic–high-intensity","weight training, cycling, other",165,3,194,3,2,66.67%
Caffeine,4,intense aerobic performance,aerobic–endurance,"cycling, rowing",7250,7,409,7,5,71.43%
Caffeine,5,endurance performance,aerobic–endurance,"cycling, running",7250,15,409,15,10,66.67%
Caffeine,3,"skill, agility + speed",sports psychology,"football, cycling, running, other",7250,6,409,6,3,50.00%
Caffeine,4,performance when sleep-deprived,sports psychology,other,7250,3,409,3,3,100.00%
Caffeine,6,mood during exercise,sports psychology,"weight training, cycling, other",7250,11,409,11,9,81.82%
Caffeine,3,high-intensity performance,anaerobic–high-intensity,"weight training, cycling, running",7250,14,409,14,8,57.14%
Calcium pyruvate,0,"body composition, metabolism","fat burning–muscle building, general fitness",other,571,1,52,1,0,0.00%
Casein,5,"muscle  building, endurance, strength","fat burning–muscle building, strength–power, aerobic–endurance","cycling, weight training",2380,5,40,5,5,100.00%
Chitosan,1,"weight + fat loss, cholesterol",fat burning–muscle building,other,983,1,54,0,0,0.00%
Chromium ,0.5,"high-intensity fitness, weight + fat loss, strength","fat burning–muscle building, aerobic–endurance, anaerobic–high-intensity, strength–power","weight training, running",4140,10,1220,10,0,0.00%
CLA,4,body composition,fat burning–muscle building,other,3620,11,374,11,6,54.55%
CLA,0,endurance,aerobic–endurance,other,3620,1,374,1,0,0.00%
Cordyceps sinensis,1,"endurance performance, aerobic capacity",aerobic–endurance,cycling,1070,2,7,2,1,50.00%
Creatine,2,aerobic endurance,aerobic–endurance,"cycling, rowing, running",1590,3,5090,3,2,66.67%
Creatine,3,high-intensity performance,anaerobic–high-intensity,"running, cycling, circuit training, rowing, other",1590,11,5090,11,5,45.45%
Creatine,0,muscle damage + recovery,recovery–injury prevention,weight training,1590,2,5090,2,0,0.00%
Creatine,5,"strength, power, neuromuscular function",strength–power,"weight training, other",1590,19,5090,19,12,63.16%
Creatine,5,muscle mass,fat burning–muscle building,"weight training, rowing",1590,12,5090,12,9,75.00%
Creatine pyruvate,0,repeated sprint performance,aerobic–endurance,cycling,245,1,18,1,0,0.00%
DHEA,1,strength + muscle mass in the elderly,"general fitness, strength–power, fat burning–muscle building","weight training, other",3820,2,601,2,2,100.00%
DHEA,0,general fitness in older adults,general fitness,"weight training, other",3820,2,601,2,0,0.00%
Fish oil,0,metabolism,general fitness,cycling,10800,1,3090,1,0,0.00%
Fish oil,3,cardio fitness markers,general fitness,"football, cycling",10800,4,3090,4,4,100.00%
